gamma,seeds,test_accuracy_mean,cka_drift_mean,cka_drift_sd,local_raw_q01_mean,local_raw_q01_sd,local_normalized_q01_mean,local_normalized_q01_sd,fiber_raw_q01_mean,fiber_raw_q01_sd,fiber_normalized_q01_mean,fiber_normalized_q01_sd,mlp_nuisance_cosine_mean,mlp_nuisance_cosine_sd,ridge_noise_0_mean,ridge_noise_0.001_mean,ridge_noise_0.01_mean,ridge_noise_0.1_mean
0.03125,3,0.9866666666666667,0.0012074105932159407,0.0003345565197141707,2.584325075149536,0.12408103135489632,0.8721860647201538,0.018616938397007093,1.19817637112811,0.04621138334550462,0.40477682073869264,0.020902868282243827,0.9991140166918436,0.0001505199663675025,0.9998670842455418,0.9998654101707379,0.999858059682075,0.9995985585771846
0.0625,3,0.9866666666666667,0.005681001945596176,0.0026091571137059175,2.6668217976888022,0.08424451105759052,0.8854208985964457,0.009782985469744999,1.20285202349324,0.03983116459562783,0.3997049255134844,0.021217373850063437,0.9990585446357727,9.075055271665755e-05,0.999868288225665,0.9998672773000731,0.9998601039178586,0.9995903595987166
0.125,3,0.9893333333333333,0.036628934611651065,0.013105641007390662,2.7363945643107095,0.03975122914916307,0.8554108540217081,0.02474586699051317,1.203621181943921,0.030987335229520595,0.3764652708172144,0.020635304276774204,0.9983106454213461,0.0006391325829935118,0.9998685391773764,0.9998676269303015,0.9998607062830337,0.9995550139997326
0.25,3,0.9826666666666667,0.15230200001537542,0.051272658325320054,2.7702165444691977,0.06233872652994332,0.760117789109548,0.01125583800118777,1.1753463029184497,0.03536572411367155,0.3225826829898077,0.011904037858193744,0.998876670996348,0.0005972301600506566,0.9998671135535765,0.9998658036044518,0.9998558812330316,0.9994647985127411
0.5,3,0.9733333333333333,0.30833385492790094,0.09185843783502255,2.648321549097697,0.09066389952710643,0.5725441972414652,0.029951517490062928,1.107346049282558,0.053538573909116614,0.23935826961722875,0.013998646377149196,0.999276876449585,0.00011789932831193531,0.9998456674155444,0.9998442628461071,0.9998268989709457,0.9991627136399545
1.0,3,0.9763333333333334,0.39982282442613454,0.11970459269791087,2.62616237004598,0.03783291194014867,0.3749581476052602,0.0037410704721958137,1.121241392140912,0.02706008902169653,0.1601791010924314,0.007515777302264282,0.9992916782697042,5.9165809389010404e-05,0.9997987232572374,0.9997963784386226,0.9997683319394325,0.9984648998077573
2.0,3,0.9813333333333333,0.46006887366023563,0.13452863944523794,1.9019123315811157,0.07437128201554882,0.19722036520640054,0.008366055080802359,0.8540326423669731,0.03130821962702738,0.08854618447997809,0.0029893748703412556,0.9992807904879252,6.736087896510427e-05,0.9995815218957239,0.999579325448326,0.9994931652090306,0.9951824141046708
4.0,3,0.9606666666666667,0.453124671927577,0.1203751948294621,2.1486894289652505,0.14469944747985455,0.140099436044693,0.012003603947954059,0.9929840622760456,0.04625366972266349,0.06489815792053845,0.0072566254088201115,0.9990300337473551,0.00032370978205713296,0.9995056873555587,0.9994938272049986,0.9993136011352441,0.9921391134526482
8.0,3,0.9813333333333333,0.4537088659974475,0.13432352553408974,2.1727140744527182,0.1258204631542671,0.08300282557805379,0.005579904040483371,1.0601268387317855,0.052671944477164265,0.0404788239952045,0.0018566196784546131,0.9990842938423157,4.945720317754244e-05,0.9993318755629045,0.9993198276816084,0.9989623084426781,0.9825106182138864
16.0,3,0.9696666666666666,0.45602716488098144,0.1339531318162721,2.36232852935791,0.24472405769368163,0.0501336914797624,0.010630407218719452,1.2011767662765498,0.1331382092394211,0.025498947082259648,0.005519073037813659,0.9983425537745158,0.0005132267078724861,0.9988636225373987,0.9989810716637643,0.9980468196591378,0.9480015429278202
32.0,3,0.988,0.45879995277548175,0.12963987924964587,2.3396824995676675,0.15523888724189494,0.028297800570726395,0.004638360952396292,1.3588686293278147,0.16519170014022536,0.016351409002163787,0.002604676627843589,0.9976730744043986,0.0013970417221590798,0.997651139774947,0.9982010233676423,0.9956256746970903,0.819330416690112
64.0,3,0.9826666666666667,0.44987302856947214,0.1255576445782575,2.9236085414886475,0.4013060844936723,0.02388170671959718,0.004673233846279722,1.646528913130732,0.21847184299434944,0.013504753065018235,0.0029194306049345744,0.9981536865234375,0.0006173653595131039,0.9979871922162905,0.9978734931318499,0.9945260494064644,0.7850029687485597
128.0,3,0.984,0.45650563204946365,0.13335601918437198,2.596798896789551,0.15301006668387118,0.011005723848938942,0.0018361380268613933,1.7023056083851056,0.6194244838401731,0.006956849960731679,0.0014397816120803205,0.9909091591835022,0.006900618673439486,0.9945624814324154,0.9938628982593919,0.9778923378220611,0.4348277291068318
