gamma,seed,layer,noise_level,training_rms,coordinate_noise_sd,angular_cosine,angular_mae
0.03125,100,4,0.0,2.9126267002195547,0.0,0.999859560105245,0.013489453657748108
0.03125,100,4,0.001,2.9126267002195547,0.00018203916876372218,0.9998574218776674,0.0136143324356966
0.03125,100,4,0.01,2.9126267002195547,0.0018203916876372217,0.999849267289424,0.014075026164775857
0.03125,100,4,0.1,2.9126267002195547,0.01820391687637222,0.9995953335617955,0.023077803924123588
0.03125,101,4,0.0,3.054025228753665,0.0,0.9998545916151081,0.013479922699957094
0.03125,101,4,0.001,3.054025228753665,0.00019087657679710406,0.9998538860219652,0.013516615897951844
0.03125,101,4,0.01,3.054025228753665,0.0019087657679710407,0.9998442692463987,0.013937835281580144
0.03125,101,4,0.1,3.054025228753665,0.019087657679710407,0.9995390559920372,0.023892707165571018
0.03125,102,4,0.0,2.9223710073394797,0.0,0.9998871010162724,0.011790508294905739
0.03125,102,4,0.001,2.9223710073394797,0.00018264818795871748,0.9998849226125811,0.011938359475318282
0.03125,102,4,0.01,2.9223710073394797,0.0018264818795871748,0.9998806425104023,0.01223001799456665
0.03125,102,4,0.1,2.9223710073394797,0.01826481879587175,0.9996612861777209,0.020620005017548685
0.0625,100,4,0.0,2.9797862705007594,0.0,0.9998581098609917,0.013345256337919088
0.0625,100,4,0.001,2.9797862705007594,0.00018623664190629745,0.9998571489395932,0.013383165479725958
0.0625,100,4,0.01,2.9797862705007594,0.0018623664190629747,0.9998484170786878,0.013947420855557318
0.0625,100,4,0.1,2.9797862705007594,0.018623664190629746,0.9995936060816729,0.023014166708283896
0.0625,101,4,0.0,3.109688976208832,0.0,0.9998570403981303,0.013542421748953636
0.0625,101,4,0.001,3.109688976208832,0.000194355561013052,0.9998563911910276,0.01358167582894374
0.0625,101,4,0.01,3.109688976208832,0.00194355561013052,0.9998490266102633,0.013897194926636835
0.0625,101,4,0.1,3.109688976208832,0.0194355561013052,0.9995255799221302,0.02444559045014632
0.0625,102,4,0.0,2.9487976450526494,0.0,0.9998897144178731,0.011767337988481865
0.0625,102,4,0.001,2.9487976450526494,0.00018429985281579058,0.999888291769598,0.011865708050249708
0.0625,102,4,0.01,2.9487976450526494,0.0018429985281579059,0.9998828680646248,0.012205947869174708
0.0625,102,4,0.1,2.9487976450526494,0.018429985281579058,0.9996518927923467,0.021158636395343853
0.125,100,4,0.0,3.2137242621815503,0.0,0.9998705103880045,0.012700719401610687
0.125,100,4,0.001,3.2137242621815503,0.00020085776638634689,0.9998686134916843,0.012768041243772793
0.125,100,4,0.01,3.2137242621815503,0.002008577663863469,0.9998628045616037,0.013086168959113312
0.125,100,4,0.1,3.2137242621815503,0.02008577663863469,0.9995799733410285,0.022862046564839617
