run_id,gamma,seed,step,training_loss,test_accuracy,weight_displacement,ntk_drift,checkpoint_sha256
527bb2ac4c40dfb4,0.03125,100,128,0.08422707824707032,0.989,0.002923587394414502,0.03047812543809414,96a304a583524a98fdb9b77cbfb3325e1f5834bbec1448452a4f0a811389656e
289b70872c4b2660,0.03125,101,64,0.08672557907104492,0.987,0.002296754669573269,0.023573243990540504,61f9c98ce9feef4f2489b3f0183e1e3133b98d11dabbd4e18fa7dabaf749c3b1
674a9ef0db8a87fb,0.03125,102,128,0.08200733375549317,0.984,0.002947062656609718,0.02332863211631775,19a4573aa59e096dfac257c2d8eb7c7adb1ccc7fd92d3033215f6e7d5773b391
fe67efb67417d9b7,0.0625,100,128,0.08175923957824707,0.989,0.005816601714363059,0.08264979720115662,15a087fc33c0adac34882d8dc8fb72c1290646449fab222a008cd1bd72299a56
490dabc4f67d5948,0.0625,101,64,0.08491145706176757,0.987,0.004587125338981408,0.04176380857825279,a33755d456a4b32f0cabd227ec2090a614723b3989e5c3887c0ae63e46e9bd70
935bc64c3169cf56,0.0625,102,64,0.0994295051574707,0.984,0.0048923689208663,0.03937426209449768,239ad5c4ee80b50bda18b48c3f20d4201cae2142a22927a2083c760b37241793
051389ecffef7f48,0.125,100,128,0.07545678100585937,0.993,0.011469990454584364,0.24039453268051147,1b54da282f3b7a23a76f39b75ccf5dba3af666687c0b3360d36e12a99b5c40b9
87a073ce5fc2fe2e,0.125,101,64,0.0811969051361084,0.987,0.009079767939979074,0.1035536676645279,6f61b16361e584edbb28e3ca575043552fcdaecfa9b7697f005c113941204900
412e35e0431c558f,0.125,102,64,0.0934345573425293,0.988,0.009652570368521369,0.11889100074768066,28034178ef31a2182116a7ed97e71e946a071c9cf9d7980bd94633e4e6c0416f
ab9463fc737a2629,0.25,100,64,0.08562099761962891,0.986,0.018621869168656154,0.49408724904060364,249acc7e38a20c96dedcb4416f3ada760d4b16fe76778b689d7e63072508febd
2259ed19d3c5e493,0.25,101,32,0.09973429336547851,0.971,0.015232549591473566,0.19309578835964203,ef075dd8923ad4f6a40fec40d6eb1dd105cab50d68c1ff6388da4ea691ce129c
88898f1eba9685c7,0.25,102,64,0.0784628604888916,0.991,0.018715411663914876,0.4369964003562927,5483a0a92af2ab7b936ade943098b51ad682fa6934a23aeced1e5c6419a2c842
df3eb89cfa92e68c,0.5,100,32,0.09249036102294922,0.982,0.03008426398173344,0.8680498003959656,4b1eb8fbdb813544c8f3b9acbe84f29da412cdc912c3c36db86f348eebb878f4
9902368fc8861db9,0.5,101,32,0.09135980072021484,0.962,0.029595099169043106,0.6136007308959961,aafe9574d10ac85addf00c45e784946b3aed96f7b91dce6bbc815b1142f698b5
3201d7bdc30129b1,0.5,102,32,0.09390841751098633,0.976,0.030641105261629283,0.9300867319107056,6be1b37249aca7a4acc021e3a9f7d3d5d3d21686f9f20bb8ac614f3299716be7
abbe0a90e83887be,1.0,100,64,0.07204120140075683,0.981,0.05212430687104596,2.8432457447052,304c0b15cb126277f824658bbdb5e023946ca844fa58e8aa1e909001b38de7ab
447430c38f490ba8,1.0,101,32,0.08901277389526367,0.97,0.04274345269911908,2.1418964862823486,3d804c6b740bb1c140307ee91fd96d7e6cc9f941dab892123985107f00c08e7b
a41c6c53c449fe25,1.0,102,64,0.0713778205871582,0.978,0.05141083479231781,2.8468966484069824,c7e293c43a2b9257e74e971a39457300b7cf6387f48fa102eab5757a61de34b9
14bae84ed0bc37a1,2.0,100,64,0.05994636917114258,0.98,0.09170959993739737,5.320469379425049,7fceacbc43b740a49450f7907fc412799deb3d0582ec0587c6e92e4b38c5487c
c138323d6fc0c2a9,2.0,101,64,0.06160050354003906,0.977,0.08266307171093733,4.261715888977051,5dc26c83b874148bad11d626b250b433878cac02652e201cb752e2e71d0ff29c
faecded5ac70c2dd,2.0,102,128,0.046539187240600584,0.987,0.10084264098679457,4.798388481140137,39f020ef95b9cbea8e279afd32b9c1e7f437a9bf38d2c9134c83a83f2d9799a9
15fb6d66d15e5af6,4.0,100,64,0.07990170288085938,0.963,0.10291853884784867,16.94535255432129,9532f4a8ad98ec52960b9004341ef6f1f007c303a7b3668d01b10d4e87e21b8d
00434208b90942e2,4.0,101,64,0.09393738861083985,0.952,0.10285859496406224,14.38972282409668,840da8e412cc4212cfd793afab2469086b40ff2d813aacd6a4a9816c54d8757d
a07a5875262001f9,4.0,102,64,0.09746811676025391,0.967,0.10446355790622396,13.371874809265137,eaa03ed2202318c045eedd56a3bd99530d461992fae01eaed1f6c6698a25bbb3
824e82124121e1fc,8.0,100,64,0.07253811111450195,0.977,0.12677763305396003,55.607391357421875,74e03c41413fea5e99d4c9d950f825ef1e021ac6b055757af6c0b1c697387d20
376e4b0b9c45e25b,8.0,101,64,0.06709088821411133,0.978,0.1215255537979589,40.14434051513672,8689ad3493d440596638ea87ec90c65574a3e1fa372148060c1fb482da7cdb39
988f5b3148592319,8.0,102,128,0.04750894012451172,0.989,0.14249756707173486,50.68954849243164,1e4df974756f8293c5fef98cdf12faaa95b5f1bd09764df8dce203fb86a4a292
6ed531ec9e961079,16.0,100,64,0.08526370010375976,0.968,0.1491604151371275,153.6156005859375,04d4ea6d82264a571558a31de6d54767e028256880eddccacd77929116d20d39
8a6e7b2fa8a1410d,16.0,101,64,0.08584649620056152,0.966,0.1485758823527751,149.47120666503906,ec0dfca65823a4df914e5826ad43414f93c94b4492ccce3d002321618ff99324
000153c8cbea930d,16.0,102,256,0.06823901443481445,0.975,0.19490859222802753,225.3436737060547,f4f3dbe00953ddfb55fa976b512306af568cd3e0a223318dab8a9be9d60fbed4
d0202743004caa01,32.0,100,128,0.05034345207214355,0.989,0.20470361004469254,526.0639038085938,d074f16c66deecdaaeae9e77583a0f7d1acd9e0ca133c28db390ad6c65a9e3af
102e1b18f8d574d8,32.0,101,64,0.06815669097900391,0.984,0.17849382570235162,425.3219299316406,d97b986590dcd18eae46f503b7d9302052585ac186474f8a0beb758a3a17a642
f0e67c220a790608,32.0,102,384,0.03880681228637695,0.991,0.24493088766797813,716.7631225585938,6adce08d28dadf97c0885fe69d36f09e080f63b14592d9ad8a4b3c072a2ef76d
546cd840819190c6,64.0,100,64,0.09429762496948242,0.975,0.20707342534763187,1239.7047119140625,603f27daa9ecc2394e51830f4c07445503eecba57797b27f06cfe617921cb3e7
d7d6c37388913fc1,64.0,101,64,0.09637422637939454,0.979,0.20456945802978757,959.6851806640625,50f9332d699fd489bed23036b5043f17116569344935de3b613eb8f7759362af
ee39f36355f2e82c,64.0,102,128,0.04658480033874512,0.994,0.24179490985714336,1712.719970703125,c0a89eaa6e4da0829dfb5103bbde381c2854f669f84552bc563f43fa4185dc50
01efbeb017e5032b,128.0,100,128,0.057762785720825195,0.988,0.2853235851590929,4967.94287109375,a047daf6a3286dd1953aceefc52335bac7191c210b5c20e66140fb379739431e
1a58e01331b6d822,128.0,101,128,0.06970078201293946,0.974,0.2785937586839256,3523.910400390625,9743fa7fed6e0e71aaccc6094790798de2bf96bf1c01ed26ed9448f59ab060ca
238cab0c8ae95463,128.0,102,384,0.03755314598083496,0.99,0.3410216247963517,7033.89697265625,8503838cd44c4045fcf31c8704675cff714836b6d9995c1265a56cd2fb4e68d2
