profile,layer,gamma,metric,n,mean,lower,upper
03878c8d9b9954cd,1,0.03125,test_accuracy,3,0.9863333333333334,0.985,0.988
03878c8d9b9954cd,1,0.5,test_accuracy,3,0.975,0.965,0.984
03878c8d9b9954cd,1,1.0,test_accuracy,3,0.967,0.963,0.9700000000000001
03878c8d9b9954cd,1,16.0,test_accuracy,3,0.9753333333333334,0.9620000000000001,0.9860000000000001
03878c8d9b9954cd,1,128.0,test_accuracy,3,0.972,0.951,0.988
03878c8d9b9954cd,1,0.03125,ntk_drift,3,0.02322041429579258,0.019929802045226097,0.029734697192907333
03878c8d9b9954cd,1,0.5,ntk_drift,3,0.6660118798414866,0.4741446077823639,0.9097630381584167
03878c8d9b9954cd,1,1.0,ntk_drift,3,2.5528510014216104,1.8034225702285767,3.631577491760254
03878c8d9b9954cd,1,16.0,ntk_drift,3,156.4264170328776,151.82691955566406,162.52040100097656
03878c8d9b9954cd,1,128.0,ntk_drift,3,4730.867350260417,4304.48291015625,5425.6787109375
03878c8d9b9954cd,1,0.03125,cka_drift,3,1.2751005347884833e-07,7.173208982358403e-08,1.7205446845025563e-07
03878c8d9b9954cd,1,0.5,cka_drift,3,0.00015764177400778845,0.00011799377101151531,0.00020959473890636016
03878c8d9b9954cd,1,1.0,cka_drift,3,0.0014044707448703415,0.0007077931890988598,0.002437109604192522
03878c8d9b9954cd,1,16.0,cka_drift,3,0.050978093997896025,0.04177978522222936,0.06539717129364808
03878c8d9b9954cd,1,128.0,cka_drift,3,0.1076189853290425,0.09014297222636458,0.1368845181651367
03878c8d9b9954cd,1,0.03125,effective_rank,3,8.096447530941896,8.087612206369412,8.113993452050863
03878c8d9b9954cd,1,0.5,effective_rank,3,8.07710808120054,8.06586649223163,8.089092519474153
03878c8d9b9954cd,1,1.0,effective_rank,3,8.044682417954148,8.032699759785327,8.066559117025808
03878c8d9b9954cd,1,16.0,effective_rank,3,7.544391441731858,7.484405562537174,7.633487137900044
03878c8d9b9954cd,1,128.0,effective_rank,3,6.454167948194498,6.4167725013404295,6.475621591459249
03878c8d9b9954cd,1,0.03125,local_normalized_q01,3,0.7315534750620524,0.7159784436225891,0.7466961741447449
03878c8d9b9954cd,1,0.5,local_normalized_q01,3,0.7326847910881042,0.7232604622840881,0.7495262622833252
03878c8d9b9954cd,1,1.0,local_normalized_q01,3,0.7291257977485657,0.7180110812187195,0.7473759055137634
03878c8d9b9954cd,1,16.0,local_normalized_q01,3,0.6333783864974976,0.6060426235198975,0.6606169939041138
03878c8d9b9954cd,1,128.0,local_normalized_q01,3,0.5481736858685812,0.5173466205596924,0.5695463418960571
03878c8d9b9954cd,1,0.03125,global_normalized_q01,3,0.4218803766591575,0.4179201806291688,0.42542589420768295
03878c8d9b9954cd,1,0.5,global_normalized_q01,3,0.42247270023952743,0.4188755310095755,0.42588002337088104
03878c8d9b9954cd,1,1.0,global_normalized_q01,3,0.4233448440010341,0.42021051000590387,0.4265938464026471
03878c8d9b9954cd,1,16.0,global_normalized_q01,3,0.4112992795560861,0.4082177483174163,0.4146275998332481
03878c8d9b9954cd,1,128.0,global_normalized_q01,3,0.3724105026735914,0.3629945151174209,0.37798435880594017
03878c8d9b9954cd,1,0.03125,nuisance_jacobian,3,3.8037098248799643,3.7939887046813965,3.8186206817626953
03878c8d9b9954cd,1,0.5,nuisance_jacobian,3,3.791102886199951,3.7821788787841797,3.8089241981506348
03878c8d9b9954cd,1,1.0,nuisance_jacobian,3,3.766557455062866,3.7563045024871826,3.7789268493652344
03878c8d9b9954cd,1,16.0,nuisance_jacobian,3,3.4822835127512612,3.4135096073150635,3.5327820777893066
03878c8d9b9954cd,1,128.0,nuisance_jacobian,3,3.591536601384481,3.5079402923583984,3.6469428539276123
03878c8d9b9954cd,1,0.03125,mlp_nuisance_cosine,3,0.9997033079465231,0.9996955394744873,0.9997171759605408
